name,nickname
France,Les bleus
England,The Three Lions
Germany,Die Mannschaft
Brazil,Canarinho
Portugal,A Seleçao
Argentina,La albiceleste
Belgium,Les Diables Rouges
Spain,La Roja
Poland,The eagles
Switzerland,La Nati
Peru,Los Incas
Denmark,Danish Dynamite
Columbia,Los cafeteros
Italy,Gli Azzurri
Mexico,El tricolor
Croatia,The blazers
Sweden,The Blue-Yellow
Wales,The Dragon
Netherland,The Flying Dutchmen
Uruguay,Los Charruas
Iceland,Our Boys
Senegal,Lions Of Teranga
USA,The Yanks
Northern Ireland,Norn Iron
Costa Rica,La muerte
Tunisia,The Eagles Of Carthage
Slovakia,Falcons
Austria,Burschen
Paraguay,Los Guaranies
Chile,La Roja
